id,name,position,slug,on_home_page,on_menu,deleted_at,created_at,updated_at
1,PEOPLE,1,people,1,1,NULL,2023-01-04 16:17:33,2023-01-04 16:17:33
2,EVENTS,2,events,1,1,NULL,2023-01-04 16:17:33,2023-01-17 18:45:59
3,FUN,3,fun,1,1,NULL,2023-01-04 16:17:33,2023-01-04 16:17:33
4,NEWS,4,news,0,1,NULL,2023-01-04 16:17:33,2023-01-04 16:17:33
5,BUSINESS,5,business,0,1,NULL,2023-01-04 16:17:33,2023-01-04 16:17:33
6,L'HEBDO,6,lhebdo,0,1,NULL,2023-01-04 16:17:33,2023-01-09 18:59:52
7,ARCHIVES,7,archives,0,0,NULL,2023-01-04 16:17:33,2023-01-16 23:19:15
